RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
1,"James Harden, PG",HOU,81,36.4,907,11.2,464,5.7,14.8,1.95
2,"John Wall, PG",WSH,78,36.4,831,10.7,322,4.1,14.1,2.58
3,"Russell Westbrook, PG",OKC,81,34.6,840,10.4,438,5.4,14.4,1.92
4,"Chris Paul, PG",LAC,61,31.5,563,9.2,147,2.4,14.1,3.83
5,"Ricky Rubio, PG",MIN,75,32.9,682,9.1,195,2.6,13.3,3.50
6,"LeBron James, SF",CLE,74,37.8,646,8.7,303,4.1,11.1,2.13
7,"Jeff Teague, PG",IND,82,32.4,639,7.8,216,2.6,11.5,2.96
8,"Jrue Holiday, PG",NO,67,32.7,488,7.3,194,2.9,10.7,2.52
9,"Draymond Green, PF",GS,76,32.5,533,7.0,184,2.4,10.4,2.90
,"Kyle Lowry, PG",TOR,60,37.4,417,7.0,173,2.9,8.9,2.41
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
11,"Rajon Rondo, PG",CHI,69,26.7,461,6.7,169,2.4,12.0,2.73
12,"Stephen Curry, PG",GS,79,33.4,524,6.6,238,3.0,9.5,2.20
,"T.J. McConnell, PG",PHI,81,26.3,534,6.6,159,2.0,12.0,3.36
14,"Elfrid Payton, PG",ORL,82,29.4,529,6.5,178,2.2,10.5,2.97
15,"Eric Bledsoe, PG",PHX,66,33.0,418,6.3,224,3.4,9.2,1.87
,"Dennis Schroder, PG",ATL,79,31.5,499,6.3,258,3.3,9.6,1.93
,"Mike Conley, PG",MEM,69,33.2,433,6.3,156,2.3,9.1,2.78
18,"Nicolas Batum, SF",CHA,77,34.0,456,5.9,194,2.5,8.4,2.35
,"Isaiah Thomas, PG",BOS,76,33.8,448,5.9,210,2.8,8.4,2.13
,"Damian Lillard, PG",POR,75,35.9,440,5.9,197,2.6,7.8,2.23
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
21,"Goran Dragic, PG",MIA,73,33.7,424,5.8,212,2.9,8.3,2.00
,"Kyrie Irving, PG",CLE,72,35.1,418,5.8,180,2.5,7.9,2.32
23,"Deron Williams, PG",CLE/DAL,64,25.9,360,5.6,138,2.2,10.4,2.61
24,"Kemba Walker, PG",CHA,79,34.7,434,5.5,168,2.1,7.6,2.58
,"Jimmy Butler, SG",CHI,76,37.0,417,5.5,159,2.1,7.1,2.62
26,"Giannis Antetokounmpo, PF",MIL,80,35.6,434,5.4,234,2.9,7.3,1.85
27,"Ish Smith, PG",DET,81,24.1,418,5.2,112,1.4,10.3,3.73
,"Tim Frazier, PG",NO,65,23.5,335,5.2,101,1.6,10.5,3.32
29,"Jameer Nelson, G",DEN,75,27.3,385,5.1,128,1.7,9.0,3.01
,"Sergio Rodriguez, PG",PHI,68,22.3,344,5.1,128,1.9,10.9,2.69
RK,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP48M,AST/TO
31,"Al Horford, C",BOS,68,32.3,337,5.0,115,1.7,7.4,2.93
32,"Blake Griffin, PF",LAC,61,34.0,300,4.9,142,2.3,6.9,2.11
,"Nikola Jokic, C",DEN,73,27.9,359,4.9,171,2.3,8.5,2.10
,"Brandon Jennings, G",NY/WSH,81,22.2,395,4.9,128,1.6,10.5,3.09
35,"Ty Lawson, G",SAC,69,25.1,334,4.8,129,1.9,9.3,2.59
,"Kevin Durant, SF",GS,62,33.4,300,4.8,138,2.2,7.0,2.17
,"D'Angelo Russell, PG",LAL,63,28.7,303,4.8,176,2.8,8.0,1.72
38,"Matthew Dellavedova, PG",MIL,76,26.1,357,4.7,133,1.8,8.6,2.68
39,"DeMarcus Cousins, C",NO/SAC,72,34.2,332,4.6,269,3.7,6.5,1.23
,"Marcus Smart, PG",BOS,79,30.4,364,4.6,159,2.0,7.3,2.29
